days,Kilometers,1Pax,2Pax,3Pax,4Pax,5Pax,6Pax,7Pax,8Pax,9Pax,10Pax,11Pax,12Pax,13Pax,Season
5,800,395,395,495,495,495,145,145,145,,,,,,Winter
6,850,435,435,535,535,535,585,585,585,,,,,,Winter
7,900,465,465,565,565,565,615,615,615,,,,,,Winter
8,900,485,485,585,585,585,635,635,635,,,,,,Winter
9,900,495,495,595,595,595,695,695,695,,,,,,Winter
10,1000,545,545,645,645,645,755,755,755,,,,,,Winter
11,1100,595,595,695,695,695,765,765,765,,,,,,Winter
12,1200,635,635,745,745,745,815,815,815,,,,,,Winter
13,1300,675,675,795,795,795,885,885,885,,,,,,Winter
14,1400,715,715,855,855,855,935,935,935,,,,,,Winter
5,800,395,395,495,495,495,145,145,145,,,,,,Summer
6,850,435,435,535,535,535,585,585,585,,,,,,Summer
7,900,465,465,565,565,565,615,615,615,,,,,,Summer
8,900,485,485,585,585,585,635,635,635,,,,,,Summer
9,1100,555,555,675,675,675,735,735,735,,,,,,Summer
10,1100,575,575,695,695,695,805,805,805,,,,,,Summer
11,1200,625,625,735,735,735,825,825,825,,,,,,Summer
12,1200,635,635,755,755,755,875,875,875,,,,,,Summer
13,1300,675,675,795,795,795,945,945,945,,,,,,Summer
14,1400,715,715,865,865,865,1010,1010,1010,,,,,,Summer
